rank,narrator,chains,in_degree,out_degree,betweenness,pagerank_source,pagerank_collector,community,unresolved
1862,الاعمش سليمان,1,1,1,0.000016,0.0000832,0.0000757,4,0
1863,عمير مولي ابن عباس,1,1,1,0.000016,0.0001052,0.0000765,8,0
1864,سعد بن هشام,1,1,1,0.000016,0.0001029,0.0000679,3,0
1865,يونس بن يزيد الايلي,3,1,1,0.000015,0.0001462,0.0001166,1,0
1866,سفيان حفظناه من الزهري,1,1,1,0.000015,0.0001272,0.0000701,11,0
1867,ابو الاسود محمد,1,1,1,0.000015,0.0000821,0.0000715,1,0
1868,ابن زريع,1,1,1,0.000015,0.0001411,0.0000827,0,0
1869,كهمس بن المنهال,1,1,1,0.000015,0.0001411,0.0000827,0,0
1870,ابيه ⟨عبد العزيز بن ابي حازم⟩,10,4,1,0.000015,0.0002191,0.0001144,13,1
1871,الثوري,1,1,1,0.000015,0.0000842,0.0000761,1,0
1872,عبد الوهاب بن عبد المجيد,3,2,2,0.000015,0.0000877,0.0001443,0,0
1873,سنان بن ابي سنان وابو سلمة,1,1,1,0.000015,0.0000907,0.0001124,4,0
1874,اسماعيل بن ابي خالد علي غير ما حدثناه الزهري,1,1,1,0.000015,0.0000866,0.0000739,8,0
1875,كان قايد كعب من بنيه,5,1,3,0.000015,0.0001512,0.0000773,1,0
1876,الوليد بن العيزار ذكر,1,1,1,0.000015,0.0001052,0.0001016,16,0
1877,ساله اسماعيل بن امية,1,1,1,0.000015,0.0000866,0.0000885,4,0
1878,ابي الاسود محمد بن عبد الرحمن بن نوفل,2,2,1,0.000015,0.0000831,0.0000788,8,0
1879,محمد بن عبد الرحمن بن نوفل,4,2,1,0.000015,0.0000884,0.0000936,8,0
1880,ابن عبد الرحمن,1,1,1,0.000014,0.0000870,0.0000817,5,0
1881,حفظناه من ابي الزناد,1,1,1,0.000014,0.0000866,0.0000678,7,0
1882,سريج,1,1,1,0.000014,0.0000943,0.0000851,10,0
1883,يزيد بن ابي عبيد مولي سلمة,1,1,1,0.000014,0.0000834,0.0000658,2,0
1884,وهب بن جرير وعبد الملك بن ابراهيم,1,1,1,0.000014,0.0000825,0.0000881,10,0
1885,ابيه ⟨ابن فضيل⟩,2,2,1,0.000014,0.0001043,0.0000810,9,1
1886,ابو غسان محمد بن مطرف,3,2,3,0.000014,0.0000941,0.0000912,13,0
1887,عكرمة مولي ابن عباس,1,1,1,0.000014,0.0001021,0.0000659,2,0
1888,عبد الله بن عبد الرحمن الانصاري,1,1,1,0.000014,0.0000935,0.0000751,5,0
1889,يحيي بن عبد الله بن محمد بن صيفي,1,1,1,0.000014,0.0001341,0.0000923,2,0
1890,سعيد بن عمرو,1,1,1,0.000014,0.0000900,0.0000752,5,0
1891,وبرة,3,2,2,0.000014,0.0001274,0.0001014,8,0
1892,ابن خباب,2,1,2,0.000013,0.0001280,0.0000962,3,0
1893,الحسن ابني محمد بن علي,2,1,1,0.000013,0.0000960,0.0000931,1,0
1894,عمرو بن ابي عمرو مولي المطلب بن عبد الله بن حنطب,2,1,1,0.000013,0.0000977,0.0000711,0,0
1895,ابو النجاشي,1,1,1,0.000013,0.0001038,0.0000721,6,0
1896,ابو النجاشي صهيب مولي رافع بن خديج,1,1,1,0.000013,0.0001038,0.0000721,6,0
1897,حرب,2,1,1,0.000013,0.0000978,0.0001043,10,0
1898,الزهري فاخبرني عروة,1,1,1,0.000013,0.0000909,0.0000679,3,0
1899,مطرف بن عبد الله,2,1,2,0.000013,0.0001084,0.0000721,0,0
1900,ابو بشر,14,2,2,0.000013,0.0002623,0.0001301,10,0
1901,ابو حازم الاشجعي,1,1,1,0.000013,0.0000998,0.0000657,6,0
1902,دخلت علي عثمان,1,1,1,0.000013,0.0001127,0.0001258,1,0
1903,هارون بن موسي ابو عبد الله الاعور,1,1,1,0.000013,0.0000798,0.0000771,1,0
1904,سعيدا,1,1,1,0.000013,0.0000950,0.0000659,2,0
1905,عبيد الله بن الاخنس,1,1,1,0.000013,0.0000844,0.0000879,2,0
1906,ابو مسهر,1,1,1,0.000013,0.0000852,0.0001148,3,0
1907,شيبان ابو معاوية,2,2,2,0.000013,0.0001291,0.0000973,3,0
1908,علي بن الحكم,1,1,2,0.000013,0.0000958,0.0000752,0,0
1909,عدي بن ثابت اراه,1,1,1,0.000012,0.0000916,0.0000740,5,0
1910,وراد كاتب المغيرة,3,1,1,0.000012,0.0001145,0.0000911,9,0
1911,ابيه ⟨سعيد⟩,5,2,1,0.000012,0.0001817,0.0000765,0,1
1912,سعيد بن المسيب في رجال من اهل العلم,1,1,1,0.000012,0.0000907,0.0000679,3,0
1913,ابن ابي عروبة,1,1,1,0.000012,0.0000844,0.0000740,6,0
1914,ابو عباد يحيي بن عباد,1,1,1,0.000012,0.0000881,0.0001148,7,0
1915,ابن اشوع,1,1,1,0.000012,0.0000906,0.0000792,9,0
1916,ابي حيان التيمي,1,1,1,0.000012,0.0000834,0.0000792,9,0
1917,اثني عليه,1,1,1,0.000012,0.0000881,0.0000726,2,0
1918,عمرو بن عاصم,8,1,1,0.000012,0.0001108,0.0001780,0,0
1919,كان لا يتهم في حديثه,2,2,1,0.000012,0.0001226,0.0001242,5,0
1920,ابن شداد,1,1,1,0.000012,0.0001167,0.0000718,1,0
1921,سعيد الجريري,2,2,2,0.000012,0.0001087,0.0000931,0,0
1922,عبد الله بن محيريز الجمحي,1,1,1,0.000012,0.0000907,0.0000660,8,0
1923,ابيه ⟨عبد الرحمن بن عابس⟩,3,1,1,0.000012,0.0001279,0.0000727,4,1
1924,الاعمش سمعا سعد بن عبيدة,1,1,1,0.000012,0.0000851,0.0000910,4,0
1925,حميدا,1,1,1,0.000012,0.0000925,0.0000722,0,0
1926,عثام,1,1,1,0.000012,0.0000823,0.0000761,0,0
1927,عثمان بن عمر بن فارس,1,1,1,0.000012,0.0000838,0.0000833,13,0
1928,محمد بن مطرف,3,2,2,0.000012,0.0000964,0.0000865,13,0
1929,ابي بكر بن عبد الرحمن بن الحارث,1,1,1,0.000011,0.0000907,0.0000690,4,0
1930,كثير بن كثير,1,1,1,0.000011,0.0000997,0.0000674,2,0
1931,عمر بن محمد بن جبير بن مطعم,2,1,2,0.000011,0.0000998,0.0001243,1,0
1932,هند بنت الحارث الفراسية,1,1,1,0.000011,0.0000869,0.0000765,3,0
1933,ابيه ⟨ابن ادريس⟩,1,1,1,0.000011,0.0001167,0.0000802,8,1
1934,اخي ⟨اسماعيل بن ابي اويس⟩,2,2,1,0.000011,0.0000861,0.0001011,8,1
1935,حفظناه من الزهري,3,1,1,0.000011,0.0001042,0.0000843,4,0
1936,كان عمرو,1,1,1,0.000011,0.0000866,0.0000702,4,0
1937,ام سلمة شكوت,1,1,1,0.000011,0.0001020,0.0000891,3,0
1938,ابيه ⟨ابن ابي زايدة⟩,2,1,1,0.000011,0.0001186,0.0000973,5,1
1939,سليمان الاحول خال ابن ابي نجيح,1,1,1,0.000011,0.0000898,0.0000721,2,0
1940,ابي غسان محمد بن مطرف,1,1,1,0.000011,0.0000969,0.0000720,8,0
1941,عطاء بن يسار وعبد الرحمن بن ابي عمرة الانصاري,1,1,1,0.000011,0.0001191,0.0000693,1,0
1942,جامع,1,1,1,0.000011,0.0000866,0.0000743,4,0
1943,عبد الملك بن اعين,1,1,1,0.000011,0.0000866,0.0000743,4,0
1944,عبيد الله بن عبد الله بن مسعود,1,1,1,0.000011,0.0000972,0.0000659,2,0
1945,الشيباني سليمان بن فيروز,1,1,1,0.000010,0.0001506,0.0000678,9,0
1946,ابي ⟨محمد بن عبد الله بن نمير⟩,1,1,1,0.000010,0.0000910,0.0000754,8,1
1947,عمر هو ابن سعيد,1,1,1,0.000010,0.0000956,0.0000879,10,0
1948,عبدالله بن وهب,1,1,1,0.000010,0.0000863,0.0000852,1,0
1949,زيد بن وهب وابي ظبيان,1,1,1,0.000010,0.0000900,0.0000680,8,0
1950,ايوب بن ابي تميمة السختياني,2,1,1,0.000010,0.0000926,0.0000881,7,0
1951,ابو عثمان النهدي,1,1,1,0.000010,0.0001374,0.0000657,12,0
1952,ابو ضمرة انس,2,2,2,0.000010,0.0000814,0.0001190,11,0
1953,ام الهذيل,2,1,2,0.000010,0.0001004,0.0000678,0,0
1954,هلال بن ابي ميمونة,2,1,1,0.000010,0.0000891,0.0000724,8,0
1955,كان رجلا مبسورا,1,1,1,0.000010,0.0001089,0.0000938,0,0
1956,ابو يعلي,1,1,1,0.000010,0.0001183,0.0001025,4,0
1957,ابو معمر اسماعيل بن ابراهيم,1,1,1,0.000010,0.0000804,0.0000769,10,0
1958,انما حفظ من الزهري,1,1,1,0.000010,0.0000866,0.0000721,7,0
1959,حفظناه,1,1,1,0.000010,0.0000866,0.0000721,7,0
1960,ثمامة بن انس,2,1,1,0.000010,0.0001252,0.0000814,0,0
1961,يزيد بن عبد الله بن الهاد,2,2,2,0.000010,0.0001065,0.0001224,14,0
1962,ابو اسحاق الشيباني,2,1,2,0.000010,0.0001061,0.0000814,3,0
1963,ابي ⟨اسحاق⟩,1,1,1,0.000010,0.0000830,0.0000648,10,1
1964,عبد الملك بن جريج,1,1,1,0.000010,0.0000844,0.0000902,0,0
1965,ابن ابي يعقوب,1,1,1,0.000010,0.0000896,0.0000745,0,0
1966,عبد الله بن يحيي,2,1,1,0.000010,0.0001218,0.0001880,14,0
1967,ابو حفص عمرو,1,1,1,0.000010,0.0000840,0.0000951,6,0
1968,ابيه ⟨محمد بن عبد الله بن عبد الرحمن بن ابي صعصعة⟩,1,1,1,0.000010,0.0001131,0.0000647,8,1
1969,ابو بكر بن محمد,2,2,1,0.000010,0.0000910,0.0000849,6,0
1970,سمي مولي ابي بكر,10,2,1,0.000010,0.0001044,0.0001132,7,0
1971,هاشم بن هاشم بن عتبة بن ابي وقاص,1,1,1,0.000010,0.0000982,0.0000702,3,0
1972,ابن ابي جعفر,1,1,1,0.000010,0.0000821,0.0000801,3,0
1973,منصورا,1,1,1,0.000010,0.0000925,0.0000978,4,0
1974,اخيه ⟨اسماعيل بن ابي اويس⟩,2,1,1,0.000010,0.0000861,0.0000946,8,1
1975,ابن الاشوع,1,1,1,0.000010,0.0001461,0.0000792,9,0
1976,العوام بن حوشب,1,1,1,0.000010,0.0001596,0.0000924,9,0
1977,المعافي,1,1,1,0.000010,0.0001108,0.0000974,2,0
1978,المهاجر ابي الحسن,2,1,1,0.000010,0.0000924,0.0000914,4,0
1979,مهاجر ابي الحسن,1,1,1,0.000010,0.0000851,0.0000773,4,0
1980,مهاجر ابو الحسن مولي لبني تيم الله,1,1,1,0.000010,0.0000851,0.0000773,4,0
1981,ابا الاسود,1,1,1,0.000010,0.0000934,0.0000705,3,0
1982,ابو خيثمة,1,1,1,0.000010,0.0001052,0.0001139,2,0
1983,ابن هرمز,3,2,1,0.000009,0.0001418,0.0000962,1,0
1984,يزيد مولي سلمة بن الاكوع,1,1,1,0.000009,0.0001308,0.0000743,1,0
1985,ابي ⟨عبدان⟩,16,1,1,0.000009,0.0000867,0.0004633,4,1
1986,حجاج بن محمد الاعور,1,1,1,0.000009,0.0000782,0.0000881,1,0
1987,عمر بن سعيد بن ابي الحسين المكي,1,1,1,0.000009,0.0000959,0.0000879,3,0
1988,يحيي هو ابن سعيد,3,3,2,0.000009,0.0001039,0.0001028,5,0
1989,ابي بكر بن عبد الرحمن بن الحارث بن هشام,1,1,1,0.000009,0.0000869,0.0000685,4,0
1990,ابيه ⟨سالم⟩,30,1,1,0.000009,0.0008621,0.0000810,11,1
1991,ابو التياح يزيد بن حميد,1,1,1,0.000009,0.0000851,0.0000722,0,0
1992,قتادة وابي التياح,1,1,1,0.000009,0.0000851,0.0000722,0,0
1993,ابي معاذ هو عطاء بن ابي ميمونة,1,1,1,0.000009,0.0000851,0.0000751,0,0
1994,محمد بن عبد الرحمن ابو المنذر الطفاوي,1,1,1,0.000009,0.0000823,0.0000912,5,0
1995,قرات علي ابن ابي ذيب,1,1,1,0.000009,0.0000799,0.0000927,7,0
1996,محمد بن عبد الله الاسدي,1,1,1,0.000009,0.0000840,0.0000821,4,0
1997,الزبير,2,1,2,0.000009,0.0001118,0.0000678,3,0
1998,عباد بن موسي,1,1,1,0.000009,0.0000804,0.0000887,10,0
1999,عبد المجيد بن سهيل بن عبد الرحمن بن عوف,2,1,2,0.000009,0.0000908,0.0000773,1,0
2000,وهو مولي عبد الرحمن بن زيد,1,1,1,0.000009,0.0001260,0.0000657,0,0
2001,ابيه ⟨عبد العزيز⟩,2,2,1,0.000009,0.0000905,0.0000702,0,1
2002,محمد بن النعمان بن بشير انهما حدثاه,1,1,1,0.000009,0.0000869,0.0001051,9,0
2003,جرير هو ابن حازم,1,1,1,0.000009,0.0000788,0.0000802,0,0
2004,الحكم بن عتيبة,1,1,1,0.000009,0.0000851,0.0000757,4,0
2005,عمير بن سعيد النخعي,1,1,1,0.000009,0.0001151,0.0000685,7,0
2006,ابو خلدة هو خالد بن دينار,1,1,1,0.000009,0.0001078,0.0000671,0,0
2007,ابو قرة مسلم بن سالم الهمداني,1,1,1,0.000009,0.0000914,0.0001022,9,0
2008,عيسي بن طلحة التيمي,1,1,1,0.000009,0.0000953,0.0000657,7,0
2009,عمي ابو الحباب سعيد بن يسار,1,1,1,0.000009,0.0001689,0.0000657,6,0
2010,ابن حكيم,1,1,1,0.000009,0.0000834,0.0000674,2,0
2011,ابي يذكر,1,1,1,0.000009,0.0000925,0.0000774,0,0
2012,عمرو بن عامر الانصاري,1,1,1,0.000008,0.0000851,0.0000671,0,0
2013,ابي معاذ,1,1,1,0.000008,0.0000851,0.0000671,0,0
2014,اسمه عطاء بن ابي ميمونة,1,1,1,0.000008,0.0000851,0.0000671,0,0
2015,عبد الحميد هو ابن كرديد صاحب الزيادي,1,1,1,0.000008,0.0000851,0.0000671,0,0
2016,ابي فروة,1,1,2,0.000008,0.0001033,0.0001114,9,0
2017,حميد بن قيس,1,1,1,0.000008,0.0000805,0.0000737,2,0
2018,عمر هو ابن محمد,2,2,1,0.000008,0.0000906,0.0000790,1,0
2019,محمد بن خازم,3,2,2,0.000008,0.0000914,0.0001141,4,0
2020,عبد العزيز بن سياه,1,1,1,0.000008,0.0001021,0.0000990,2,0
2021,الاعلم,1,1,1,0.000008,0.0000909,0.0001045,0,0
2022,هو زياد,1,1,1,0.000008,0.0000909,0.0001045,0,0
2023,عبد الله بن عبيد الله بن ابي مليكة,3,1,1,0.000008,0.0001138,0.0000659,2,0
2024,المقداد بن الاسود وعبد الرحمن بن عوف فما,1,1,1,0.000008,0.0001929,0.0000810,3,0
2025,صحبت طلحة بن عبيد الله,1,1,1,0.000008,0.0001929,0.0000810,3,0
2026,عمرو بن سليم,1,1,1,0.000008,0.0000878,0.0000900,7,0
2027,مالك بن دينار,1,1,1,0.000008,0.0001012,0.0000721,9,0
2028,زبيد اليامي,1,1,1,0.000008,0.0000866,0.0000757,4,0
2029,ذكرت لعبد الرحمن بن عابس حديث منصور,2,1,1,0.000008,0.0000954,0.0000884,4,0
2030,القاسم بن مالك المزني,1,1,1,0.000008,0.0000884,0.0000914,4,0
2031,عمير مولي عبد الله بن العباس,2,1,2,0.000008,0.0001130,0.0000900,8,0
2032,نافع وعبد الله بن دينار,2,1,1,0.000008,0.0000831,0.0000872,8,0
2033,زيد بن اسلم يخبرونه,1,1,1,0.000008,0.0000805,0.0000752,8,0
2034,امه ⟨منصور⟩,3,1,1,0.000008,0.0001050,0.0000775,4,1
2035,خارجة بن زيد,1,1,1,0.000008,0.0000869,0.0000744,14,0
2036,عبيد بن السباق,3,1,1,0.000008,0.0001051,0.0000969,14,0
2037,زايدة بن قدامة,2,2,2,0.000008,0.0001034,0.0000804,3,0
2038,عمران القطان,1,1,1,0.000008,0.0001395,0.0000804,6,0
2039,عبد الرحمن بن عمرو بن سهل,1,1,1,0.000008,0.0001330,0.0000797,9,0
2040,عيسي بن طلحة بن عبيد الله,2,1,1,0.000008,0.0000960,0.0000703,1,0
2041,ابن جبر,1,1,1,0.000008,0.0000916,0.0000751,0,0
2042,هارون بن معروف,1,1,1,0.000008,0.0000804,0.0000935,10,0
2043,الحسن بن عمرو,2,1,2,0.000008,0.0000920,0.0000844,2,0
2044,همام بن منبه,20,3,1,0.000008,0.0003406,0.0001562,3,0
2045,محمد هو ابن زياد,1,1,1,0.000008,0.0000851,0.0000693,5,0
2046,سلمة بن علقمة,4,1,3,0.000008,0.0001193,0.0001006,6,0
2047,يزيد بن عبد الله بن قسيط,1,1,1,0.000008,0.0000886,0.0000678,7,0
2048,ابن ابي انس مولي التيميين,2,1,1,0.000008,0.0000960,0.0000928,1,0
2049,عبد الرحمن بن مالك المدلجي,1,1,1,0.000008,0.0000869,0.0000780,1,0
2050,هو ابن اخي سراقة بن مالك بن جعشم,1,1,1,0.000008,0.0000869,0.0000780,1,0
2051,زكرياء بن عدي,2,2,1,0.000007,0.0000831,0.0001066,10,0
2052,ذكر ابي,1,1,1,0.000007,0.0000827,0.0000721,7,0
2053,محمد هو ابن المنكدر,1,1,1,0.000007,0.0000866,0.0000746,2,0
2054,ابا صالح,7,2,1,0.000007,0.0001628,0.0000958,4,0
2055,ابيه ⟨عمر بن محمد بن زيد⟩,1,1,1,0.000007,0.0001286,0.0000752,11,1
2056,ابو امامة بن سهل,2,2,1,0.000007,0.0000960,0.0000675,8,0
2057,عباس الجريري,2,2,1,0.000007,0.0000909,0.0000928,0,0
2058,ابي قيس مولي عمرو بن العاص,1,1,1,0.000007,0.0001122,0.0000810,14,0
2059,سلام,1,1,1,0.000007,0.0000798,0.0000900,9,0
2060,اسع بن حبان,2,1,1,0.000007,0.0001108,0.0000664,11,0
2061,عمه ⟨محمد بن يحيي بن حبان⟩,2,1,1,0.000007,0.0001108,0.0000664,11,1
2062,واسع بن حبان,2,1,1,0.000007,0.0001108,0.0000664,11,0
2063,ابو سلمة بن عبد الرحمن وابن المسيب,1,1,1,0.000007,0.0000869,0.0001184,1,0
2064,محمد بن عبد الرحمن الاسدي,2,1,1,0.000007,0.0000933,0.0000779,3,0
2065,ابيه ⟨عبد الواحد بن ايمن⟩,3,2,1,0.000007,0.0001195,0.0000763,4,1
2066,حاتم بن ابي صغيرة,2,1,2,0.000007,0.0001081,0.0001319,0,0
2067,ابو ايوب,1,1,1,0.000007,0.0000958,0.0000773,2,0
2068,ثابتا مولي عبد الرحمن بن زيد,2,1,1,0.000007,0.0001225,0.0000755,2,0
2069,الاعرج عبد الرحمن,1,2,1,0.000007,0.0000914,0.0000917,7,0
2070,احد منهم مغيرة,1,1,1,0.000007,0.0000920,0.0000792,10,0
2071,رجل ثالث ايضا,1,1,1,0.000007,0.0000920,0.0000792,10,0
2072,فلان,2,1,2,0.000007,0.0001071,0.0000792,10,0
2073,زكرياء بن اسحاق المكي,1,1,1,0.000007,0.0000847,0.0000905,2,0
2074,عثمان بن عبد الله بن سراقة,1,1,1,0.000007,0.0000886,0.0000784,2,0
2075,اهل المدينة سالوا ابن عباس,1,1,1,0.000007,0.0000975,0.0002338,2,0
2076,عبد الله بن بكر السهمي,2,1,2,0.000007,0.0000915,0.0000831,0,0
2077,صالح ابي الخليل,2,1,1,0.000007,0.0001057,0.0000856,0,0
2078,ابا الخليل,1,1,1,0.000007,0.0000918,0.0000744,0,0
2079,ابي الخليل,2,1,1,0.000007,0.0001057,0.0000856,0,0
2080,بكر بن عمرو,1,1,1,0.000007,0.0001038,0.0000791,14,0
2081,ابيه ⟨عمر بن محمد⟩,1,1,1,0.000007,0.0000985,0.0000752,1,1
2082,محمد بن ابي عدي,2,1,1,0.000007,0.0000792,0.0001131,5,0
2083,يحيي وابن مهدي,1,1,1,0.000007,0.0000785,0.0000881,5,0
2084,غندر وعبد الرحمن,1,1,1,0.000007,0.0000785,0.0000881,5,0
2085,محمد بن جعفر غندر,1,1,1,0.000007,0.0000785,0.0000881,5,0
2086,ابن جعفر,1,1,1,0.000007,0.0000785,0.0000881,5,0
2087,عبد الملك بن صباح,1,1,1,0.000007,0.0000785,0.0000881,5,0
2088,العقدي,1,1,1,0.000007,0.0000785,0.0000881,5,0
2089,ابيه ⟨اشعث⟩,2,1,1,0.000007,0.0001234,0.0000834,3,1
2090,ابي طوالة,1,1,1,0.000007,0.0000859,0.0000722,0,0
2091,القاسم بن مخيمرة,1,1,1,0.000007,0.0001747,0.0001127,12,0
2092,عطاء بن يزيد الجندعي,1,1,1,0.000007,0.0000869,0.0000660,8,0
2093,الحارث,1,1,1,0.000007,0.0001696,0.0000679,9,0
2094,مخول بن راشد,1,1,1,0.000006,0.0000851,0.0000720,2,0
2095,الضحاك بن مخلد,1,1,1,0.000006,0.0000823,0.0000967,2,0
2096,عبد المجيد بن سهيل بن عبد الرحمن,1,1,1,0.000006,0.0000805,0.0000702,8,0
2097,عبد المجيد بن سهيل,1,1,1,0.000006,0.0000805,0.0000702,8,0
2098,سليمان بن حبيب,1,1,1,0.000006,0.0001038,0.0000818,8,0
2099,زرارة,1,1,1,0.000006,0.0000918,0.0000657,7,0
2100,سالم بن عبد الله بن عمر وابو بكر بن ابي حثمة,1,1,1,0.000006,0.0000907,0.0000648,11,0
2101,عبيدالله بن عبد الله بن عتبة,3,2,1,0.000006,0.0001051,0.0000783,1,0
2102,ابي الزبير,1,1,1,0.000006,0.0000875,0.0000746,2,0
2103,ابي حمزة,23,3,1,0.000006,0.0000906,0.0004909,4,0
2104,ابي ⟨اشعث⟩,2,1,1,0.000006,0.0001234,0.0001384,5,1
2105,عمرة ابنة عبد الرحمن,1,1,1,0.000006,0.0000880,0.0000810,3,0
2106,عباس الجريري هو ابن فروخ,1,1,1,0.000006,0.0000851,0.0000770,0,0
2107,عروة بن الزبير في رجال من اهل العلم,2,2,1,0.000006,0.0000960,0.0000695,1,0
2108,هاشم بن هاشم السعدي,1,1,1,0.000006,0.0001031,0.0000702,4,0
2109,ابا صالح الزيات,1,1,1,0.000006,0.0000893,0.0000660,8,0
2110,ابي العالية البراء,1,1,1,0.000006,0.0000883,0.0000659,2,0
2111,حنظلة بن قيس,1,1,1,0.000006,0.0000949,0.0000721,6,0
2112,سهيل بن ابي صالح انهما سمعا النعمان بن ابي عياش,1,1,1,0.000006,0.0000898,0.0000675,7,0
2113,حمران بن ابان,2,1,1,0.000006,0.0000955,0.0001304,6,0
2114,عثمان بن المغيرة,1,1,1,0.000006,0.0000948,0.0000737,2,0
2115,محمد بن كعب القرظي,1,1,1,0.000006,0.0000870,0.0000698,5,0
2116,ابو بشر جعفر بن اياس,1,1,1,0.000006,0.0000920,0.0000737,10,0
2117,ابيه ⟨يعقوب بن ابراهيم⟩,2,2,1,0.000006,0.0000890,0.0001088,10,1
2118,اخي ⟨اسماعيل بن عبد الله⟩,4,1,1,0.000006,0.0000851,0.0001260,8,1
2119,اخيه ⟨اسماعيل بن عبد الله⟩,1,1,1,0.000006,0.0000796,0.0000788,8,1
2120,عيسي هو ابن يونس,1,1,1,0.000006,0.0000787,0.0001082,3,0
2121,رواه يزيد بن ابراهيم,1,1,1,0.000006,0.0001587,0.0000831,0,0
2122,كهمس,1,1,1,0.000006,0.0001087,0.0000922,0,0
2123,ابراهيم هو ابن سعد,1,1,1,0.000006,0.0000788,0.0000841,5,0
2124,ابي ⟨يعقوب⟩,4,2,1,0.000006,0.0001190,0.0001510,1,1
2125,ابي ⟨عبد العزيز بن ابي حازم⟩,2,1,1,0.000006,0.0001061,0.0000732,13,1
2126,الحسين المعلم,1,1,1,0.000006,0.0001089,0.0000804,4,0
2127,ابيه ⟨سعيد بن ابي بردة بن ابي موسي الاشعري⟩,1,1,1,0.000006,0.0001501,0.0000685,5,1
2128,عمرو بن حريث,4,2,1,0.000006,0.0001267,0.0001162,9,0
2129,ابو معاوية شيبان,1,1,1,0.000006,0.0001052,0.0000980,4,0
2130,ابو بكر الحنفي,1,1,1,0.000006,0.0000785,0.0000843,3,0
2131,عبد العزيز بن عمر بن عبد العزيز,1,1,1,0.000005,0.0000935,0.0000752,8,0
2132,ابو احمد محمد بن عبد الله الزبيري,1,1,1,0.000005,0.0000804,0.0000915,10,0
2133,عمر بن محمد بن زيد بن عبد الله بن عمر,1,1,1,0.000005,0.0000842,0.0000780,1,0
2134,عمرو بن ابي عمرو مولي المطلب بن حنطب,1,1,1,0.000005,0.0000837,0.0000671,13,0
2135,حميد بن ابي حميد الطويل,1,1,1,0.000005,0.0000837,0.0000671,13,0
2136,سمي مولي ابي بكر بن عبد الرحمن,2,1,1,0.000005,0.0000831,0.0000756,7,0
2137,حسين بن محمد ابو احمد,1,1,1,0.000005,0.0000838,0.0000798,13,0
2138,زياد بن جبير بن حية,1,1,1,0.000005,0.0001050,0.0000741,15,0
2139,لو شيت,1,1,1,0.000005,0.0000937,0.0000900,0,0
2140,مسلم البطين,2,1,2,0.000005,0.0001036,0.0000717,2,0
2141,عبد الله مولي اسماء,1,1,1,0.000005,0.0000898,0.0000802,3,0
2142,بريد بن ابي بردة,2,1,2,0.000005,0.0000903,0.0000734,12,0
2143,الاشعث بن سليم سمعا الاسود بن هلال,1,1,1,0.000005,0.0000851,0.0000721,2,0
2144,لي ابن ابي نجيح,1,1,1,0.000005,0.0000866,0.0000737,2,0
2145,سليمان بن ابي مسلم الاحول,1,1,1,0.000005,0.0000866,0.0000737,2,0
2146,صالح بن حيان,1,1,1,0.000005,0.0001482,0.0001317,12,0
2147,ابي ⟨اسحاق بن سعيد بن عمرو بن سعيد بن العاص⟩,1,1,1,0.000005,0.0001185,0.0000976,10,1
2148,النضر بن شميل,1,1,1,0.000005,0.0000830,0.0000833,0,0
2149,كثير بن كثير يزيد احدهما علي الاخر,1,1,1,0.000005,0.0000909,0.0000674,3,0
2150,كثير بن كثير بن المطلب بن ابي وداعة يزيد احدهما علي الاخر,1,1,1,0.000005,0.0000909,0.0000674,3,0
2151,الزهري اخبرتني هند بنت الحارث,1,1,1,0.000005,0.0000909,0.0000667,3,0
2152,قتادة سمعوا سالم بن ابي الجعد,1,1,1,0.000005,0.0000851,0.0000648,2,0
2153,بيان ابي بشر,1,1,1,0.000005,0.0000834,0.0000739,8,0
2154,ادريس,2,1,1,0.000005,0.0000873,0.0001037,12,0
2155,عمرو بن اوس الثقفي,1,1,1,0.000005,0.0000893,0.0001206,2,0
2156,اللفظ لجرير,1,1,1,0.000005,0.0000872,0.0000821,6,0
2157,جرير وابو اسامة,1,1,1,0.000005,0.0000872,0.0000821,6,0
2158,ابي حمزة الضبعي,1,1,1,0.000005,0.0000831,0.0000659,2,0
2159,معن بن محمد الغفاري,2,1,1,0.000005,0.0001297,0.0001223,0,0
2160,حفظناه من عمرو بن دينار,1,1,1,0.000005,0.0000866,0.0000648,2,0
2161,ابي ⟨وهب⟩,1,1,1,0.000005,0.0000958,0.0000852,5,1
2162,المغيرة بن النعمان,6,1,2,0.000005,0.0001260,0.0000887,2,0
2163,هو ابن زيد,2,2,2,0.000005,0.0000851,0.0000894,0,0
2164,الشيباني سليمان,1,1,1,0.000005,0.0000914,0.0000850,9,0
2165,هلال بن ابي هلال,1,1,1,0.000005,0.0000889,0.0000678,8,0
2166,ابو معمر مرة,1,1,2,0.000005,0.0005205,0.0000721,0,0
2167,عبد الله الداناج,1,1,1,0.000005,0.0001015,0.0000700,9,0
2168,ابا عثمان النهدي,2,1,2,0.000005,0.0001204,0.0000656,0,0
2169,علي بن مبارك,1,1,1,0.000005,0.0000847,0.0000804,6,0
2170,اسحاق بن عبدالله بن ابي طلحة,1,1,1,0.000005,0.0000947,0.0000671,0,0
2171,زكرياء هو ابن ابي زايدة,1,1,1,0.000004,0.0000825,0.0000844,5,0
2172,عبد الله بن معقل,3,1,2,0.000004,0.0001353,0.0000666,5,0
2173,الحسن وابن سيرين,1,1,1,0.000004,0.0000937,0.0000657,0,0
