rank,narrator,chains,in_degree,out_degree,betweenness,pagerank_source,pagerank_collector,community,unresolved
139,يحيي بن ادم,17,10,8,0.002754,0.0002702,0.0008186,3,0
140,عبد الله بن عباس,49,9,16,0.002683,0.0016031,0.0003670,1,0
141,ابراهيم بن المنذر,66,14,1,0.002622,0.0000869,0.0019331,11,0
142,ابو عبد الله,9,9,2,0.002620,0.0005741,0.0019859,2,0
143,عمرو بن الحارث,16,9,9,0.002614,0.0005374,0.0004930,1,0
144,ابي بردة,56,5,13,0.002610,0.0011082,0.0003455,12,0
145,عبد الصمد,28,11,9,0.002552,0.0003287,0.0009319,10,0
146,ابو بكر,18,6,11,0.002539,0.0007393,0.0002766,7,0
147,لي خليفة,12,6,6,0.002515,0.0009697,0.0004574,0,0
148,يعقوب بن ابراهيم,62,14,9,0.002512,0.0004085,0.0017209,10,0
149,حصين,34,14,15,0.002433,0.0006051,0.0006591,9,0
150,ابو هريرة,31,1,18,0.002414,0.0007932,0.0004040,1,0
151,المغيرة,15,7,11,0.002374,0.0010734,0.0002475,9,0
152,وهيب,95,17,12,0.002311,0.0006071,0.0015310,9,0
153,مسعر,23,18,9,0.002307,0.0003751,0.0007686,4,0
154,البراء بن عازب,41,3,12,0.002282,0.0013872,0.0028351,5,0
155,شيبان,54,6,12,0.002279,0.0006621,0.0010548,6,0
156,الوليد بن مسلم,14,6,10,0.002274,0.0003158,0.0008036,6,0
157,مسلم,57,8,3,0.002268,0.0003313,0.0011938,3,0
158,عبد العزيز,41,9,15,0.002258,0.0002837,0.0005355,0,0
159,ثابت,51,7,14,0.002255,0.0007984,0.0005446,0,0
160,اسماء,18,1,10,0.002250,0.0005919,0.0004040,3,0
161,عبد الملك بن عمير,17,12,5,0.002244,0.0002884,0.0006745,9,0
162,الاعرج,144,15,12,0.002235,0.0012561,0.0008044,7,0
163,عبد الله بن بريدة,17,10,6,0.002207,0.0006604,0.0005607,0,0
164,ابي صالح,63,5,12,0.002203,0.0012403,0.0002835,7,0
165,سعد بن ابراهيم,26,15,6,0.002184,0.0003634,0.0006767,5,0
166,ادم,150,7,1,0.002129,0.0004814,0.0036123,5,0
167,ثمامة,13,3,7,0.002114,0.0007677,0.0001908,0,0
168,زينب ابنة ابي سلمة,20,10,8,0.002093,0.0003892,0.0006163,3,0
169,النبي امر رجلا,1,1,1,0.002089,0.0004730,0.0031442,5,0
170,بسر بن سعيد,13,8,12,0.002070,0.0004855,0.0003298,14,0
171,الاسود,63,6,6,0.002059,0.0012916,0.0005675,4,0
172,احمد,19,8,1,0.002050,0.0000958,0.0011554,1,0
173,يحيي بن حمزة,8,7,6,0.002048,0.0003411,0.0006257,6,0
174,عبد الملك,27,14,5,0.002046,0.0003875,0.0007434,9,0
175,صالح بن كيسان,26,11,13,0.002023,0.0004471,0.0007524,1,0
176,نافعا,10,4,8,0.001998,0.0007840,0.0001944,11,0
177,حبيب بن ابي ثابت,13,11,5,0.001979,0.0003944,0.0005518,5,0
178,عقيل,175,7,7,0.001977,0.0010939,0.0038493,1,0
179,عدي بن ثابت,28,12,5,0.001974,0.0003281,0.0009269,5,0
180,جرير بن حازم,32,13,15,0.001962,0.0004304,0.0008322,0,0
181,محمد بن سيرين,24,11,13,0.001954,0.0006312,0.0003535,7,0
182,سمعه,8,3,5,0.001953,0.0035553,0.0001825,0,0
183,عبد الرحمن بن القاسم,40,11,14,0.001938,0.0005854,0.0007137,3,0
184,حيوة,11,9,6,0.001938,0.0003373,0.0008079,14,0
185,سعيد المقبري,42,9,7,0.001885,0.0004900,0.0006776,7,0
186,عمارة,18,8,9,0.001880,0.0012982,0.0003094,7,0
187,يزيد بن هارون,16,12,14,0.001858,0.0002953,0.0005646,6,0
188,ابن المبارك,14,8,11,0.001841,0.0013004,0.0005306,3,0
189,سليمان بن بلال,36,19,14,0.001828,0.0004363,0.0009143,6,0
190,وكيع,43,16,13,0.001827,0.0003458,0.0011522,6,0
191,طاوس,41,6,15,0.001807,0.0014143,0.0002810,2,0
192,علي بن حسين,19,11,4,0.001802,0.0002883,0.0007957,1,0
193,ابن سيرين,13,7,7,0.001795,0.0009098,0.0003314,0,0
194,محمود,39,9,3,0.001793,0.0006288,0.0009460,3,0
195,ثور,8,3,7,0.001751,0.0001706,0.0004009,7,0
196,زهير,59,23,8,0.001743,0.0003676,0.0013803,5,0
197,عبد الله بن يزيد,18,12,5,0.001742,0.0001793,0.0006534,14,0
198,ابي سلمة بن عبد الرحمن,35,9,16,0.001722,0.0007165,0.0002141,7,0
199,ثمامة بن عبد الله بن انس,8,4,7,0.001713,0.0005319,0.0001841,0,0
200,محمد بن ابي بكر,16,8,1,0.001692,0.0000851,0.0006434,0,0
201,وهب بن جرير,16,5,9,0.001666,0.0003491,0.0005189,3,0
202,روح,20,11,11,0.001641,0.0004198,0.0006164,10,0
203,ابو الاحوص,21,13,8,0.001639,0.0002841,0.0008993,6,0
204,عمرو بن زرارة,14,8,1,0.001617,0.0003521,0.0006000,10,0
205,عبد الله بن يوسف,335,7,1,0.001611,0.0000805,0.0081571,8,0
206,عبد الرحمن بن يزيد,16,6,5,0.001606,0.0004216,0.0002420,4,0
207,مهدي,7,4,4,0.001597,0.0000975,0.0019938,0,0
208,القاسم,23,5,15,0.001593,0.0007010,0.0002535,3,0
209,يعلي,9,8,6,0.001592,0.0002571,0.0003921,2,0
210,يونس بن يزيد,11,3,8,0.001585,0.0003803,0.0002822,1,0
211,خالد بن معدان,5,4,2,0.001576,0.0002395,0.0004985,7,0
212,عبد الاعلي,31,12,10,0.001571,0.0006347,0.0007417,0,0
213,النعمان بن بشير,12,1,7,0.001550,0.0004889,0.0007450,9,0
214,فليح بن سليمان,17,6,9,0.001549,0.0005512,0.0003328,10,0
215,اسحاق بن منصور,28,13,3,0.001538,0.0002949,0.0007823,10,0
216,سليمان بن يسار,17,8,10,0.001538,0.0005142,0.0002258,1,0
217,فليح,25,10,9,0.001531,0.0005402,0.0006747,10,0
218,ابيه ⟨هشام بن عروة⟩,115,29,1,0.001513,0.0013884,0.0009472,3,1
219,ابيه ⟨هشام⟩,136,23,1,0.001503,0.0014006,0.0011074,3,1
220,عمرو بن مرة,28,14,4,0.001486,0.0004155,0.0022422,5,0
221,عمرة بنت عبد الرحمن,21,5,9,0.001484,0.0003951,0.0002693,3,0
222,علي بن مسهر,22,9,5,0.001443,0.0003376,0.0004744,3,0
223,ابو سلمة,26,15,6,0.001414,0.0005069,0.0002925,1,0
224,ابي زرعة,24,3,10,0.001401,0.0012760,0.0001461,7,0
225,غيلان,3,2,1,0.001386,0.0001133,0.0021229,0,0
226,ابو عامر,13,9,2,0.001380,0.0003183,0.0004599,3,0
227,قيل يا رسول الله,1,1,1,0.001342,0.0008376,0.0003380,4,0
228,ابي النضر مولي عمر بن عبيد الله,13,9,4,0.001332,0.0001674,0.0005137,8,0
229,حميد بن عبد الرحمن,41,14,6,0.001321,0.0005024,0.0006137,1,0
230,ابا وايل,14,6,7,0.001320,0.0003251,0.0003152,5,0
231,عبد الله بن ابي مليكة,14,8,5,0.001320,0.0003982,0.0005689,0,0
232,ابو جمرة,8,4,4,0.001303,0.0003039,0.0002774,5,0
233,ابا سعيد,9,1,8,0.001302,0.0008922,0.0003515,1,0
234,يحيي بن يعمر,7,4,2,0.001300,0.0003479,0.0001440,0,0
235,ابو الاسود,7,6,7,0.001288,0.0002358,0.0002709,14,0
236,عليا,14,2,10,0.001288,0.0008483,0.0001427,1,0
237,عقبة بن الحارث,12,2,3,0.001283,0.0005025,0.0016573,2,0
238,عبيدة,18,4,4,0.001274,0.0004661,0.0004236,4,0
239,سعيد بن ابي سعيد المقبري,15,5,10,0.001270,0.0003905,0.0005292,7,0
240,سليمان التيمي,13,6,10,0.001270,0.0004712,0.0002620,0,0
241,العوام,6,3,5,0.001265,0.0002270,0.0003353,6,0
242,محمد بن عمرو بن حلحلة,4,4,6,0.001261,0.0002977,0.0003074,8,0
243,طارق بن شهاب,15,7,3,0.001259,0.0005754,0.0001522,12,0
244,اسماعيل بن خليل,8,3,1,0.001256,0.0001356,0.0003428,3,0
245,محمد بن فضيل,17,11,10,0.001254,0.0001975,0.0004820,9,0
246,الاسود بن يزيد,9,4,3,0.001242,0.0002605,0.0001664,5,0
247,اسماعيل بن ابراهيم,19,10,10,0.001241,0.0003114,0.0005754,0,0
248,بشر بن المفضل,21,10,7,0.001234,0.0002318,0.0006461,6,0
249,عبد العزيز بن ابي سلمة,13,11,6,0.001228,0.0001703,0.0003757,5,0
250,سهل بن سعد,62,3,10,0.001227,0.0010649,0.0003737,13,0
251,سليمان بن عبد الرحمن,6,5,2,0.001226,0.0001612,0.0004045,6,0
252,الزبيدي,8,3,6,0.001219,0.0009959,0.0002082,1,0
253,مطرف,12,6,9,0.001207,0.0002424,0.0003701,9,0
254,عباد بن تميم,23,8,8,0.001203,0.0003711,0.0003978,9,0
255,ابن نمير,14,12,3,0.001201,0.0000999,0.0005523,12,0
256,شريح بن مسلمة,9,4,2,0.001194,0.0003809,0.0004198,5,0
257,عبد الرحمن بن عبد الله بن دينار,9,4,8,0.001184,0.0004920,0.0002096,10,0
258,ابو النعمان,95,16,1,0.001184,0.0001099,0.0023943,0,0
259,ابو الزناد,65,7,5,0.001182,0.0004325,0.0007288,1,0
260,النضر,22,6,11,0.001181,0.0003141,0.0005303,5,0
261,ابي عبد الرحمن السلمي,12,5,3,0.001180,0.0003499,0.0005521,4,0
262,عبيد الله بن عمر,18,6,14,0.001179,0.0004250,0.0002987,11,0
263,يزيد بن خصيفة,6,3,6,0.001178,0.0002091,0.0001915,3,0
264,احمد بن عثمان,9,2,1,0.001176,0.0003128,0.0004609,5,0
265,عبد الله بن شداد,9,5,6,0.001171,0.0003453,0.0002585,2,0
266,عامر بن سعد,15,8,5,0.001158,0.0005957,0.0002534,1,0
267,حميد الطويل,25,4,15,0.001158,0.0005603,0.0002325,0,0
268,معتمر بن سليمان,7,4,6,0.001147,0.0002544,0.0003698,0,0
269,عيسي بن يونس,16,9,9,0.001139,0.0003403,0.0004319,3,0
270,ابيهما,4,3,5,0.001131,0.0004147,0.0001238,1,0
271,المسور بن مخرمة,23,7,8,0.001123,0.0005274,0.0004120,2,0
272,حصين بن عبد الرحمن,11,8,8,0.001119,0.0005236,0.0003516,2,0
273,عمرو بن يحيي,22,7,6,0.001116,0.0002639,0.0005189,9,0
274,الجريري,9,6,5,0.001113,0.0002544,0.0007102,0,0
275,ابو النضر,7,7,7,0.001109,0.0002263,0.0004057,4,0
276,ابن اخي ابن شهاب,11,4,4,0.001109,0.0001657,0.0005369,10,0
277,عبد الوهاب,56,10,14,0.001108,0.0003782,0.0011521,0,0
278,حذيفة,36,1,13,0.001106,0.0010109,0.0000718,4,0
279,هاشم,2,2,2,0.001104,0.0001978,0.0000845,1,0
280,روح بن عبادة,17,11,8,0.001095,0.0003976,0.0006031,10,0
281,سلمة بن كهيل,9,7,3,0.001073,0.0001413,0.0013781,5,0
282,سعيد بن مسروق,7,4,4,0.001072,0.0001949,0.0003969,6,0
283,قيس بن مسلم,12,1,10,0.001071,0.0005113,0.0001666,12,0
284,هلال,11,4,4,0.001071,0.0004137,0.0005930,10,0
285,عبد الله بن دينار,74,4,14,0.001067,0.0007982,0.0006124,11,0
286,مروان,10,2,9,0.001065,0.0004073,0.0001447,1,0
287,مجاهدا,13,7,10,0.001061,0.0003923,0.0002410,2,0
288,خالد بن الحارث,16,8,8,0.001060,0.0001997,0.0004855,0,0
289,سلمان,3,3,3,0.001059,0.0002865,0.0008821,0,0
290,ابي ⟨هشام⟩,41,13,1,0.001057,0.0004766,0.0005620,3,1
291,عبد الله بن رجاء,14,4,2,0.001055,0.0010259,0.0003944,5,0
292,سعيد بن ابي سعيد,20,4,5,0.001054,0.0004629,0.0001873,7,0
293,حجاج,17,7,5,0.001045,0.0001883,0.0005325,5,0
294,شعيب,271,8,5,0.001039,0.0007274,0.0044390,1,0
295,خالد الحذاء,24,11,13,0.001032,0.0003611,0.0004573,0,0
296,كعب بن مالك,12,1,7,0.001007,0.0006099,0.0000891,1,0
297,محمد بن سوقة,4,4,3,0.001001,0.0002202,0.0002600,4,0
298,سلمة,23,6,4,0.000990,0.0004332,0.0003032,2,0
299,طلحة,8,5,6,0.000975,0.0003208,0.0001306,5,0
300,بيان,11,9,7,0.000969,0.0002309,0.0002895,8,0
301,عبد الرحمن بن مهدي,7,6,6,0.000967,0.0001033,0.0003219,5,0
302,ابي جمرة,12,2,7,0.000961,0.0004198,0.0001096,2,0
303,قيس بن ابي حازم,19,9,7,0.000957,0.0005080,0.0002418,8,0
304,جابر بن عبد الله,169,5,51,0.000946,0.0049752,0.0003412,2,0
305,ابن بريدة,8,6,6,0.000944,0.0003784,0.0002745,0,0
306,الاسود بن قيس,11,7,4,0.000935,0.0001570,0.0005224,5,0
307,عبد العزيز بن رفيع,7,3,5,0.000935,0.0003044,0.0001355,7,0
308,جندبا,6,2,4,0.000931,0.0001943,0.0004805,5,0
309,ابي معمر,16,3,4,0.000926,0.0004935,0.0001794,2,0
310,جلست,2,2,2,0.000919,0.0004242,0.0002839,10,0
311,المعتمر بن سليمان,5,2,3,0.000919,0.0002225,0.0003713,15,0
312,ابن ابي نجيح,27,3,10,0.000917,0.0005993,0.0005003,2,0
313,حفصة,12,2,7,0.000915,0.0010952,0.0009245,0,0
314,عطاء بن يزيد,13,11,2,0.000915,0.0002336,0.0007026,1,0
315,عبد الرحمن بن ابي ليلي,19,5,6,0.000904,0.0006893,0.0002450,2,0
316,عطاء بن ابي رباح,14,3,11,0.000898,0.0004940,0.0000849,2,0
317,عامر بن عبد الله بن الزبير,4,2,3,0.000898,0.0001416,0.0002719,8,0
318,محمد بن سنان,25,6,1,0.000893,0.0002066,0.0005807,10,0
319,عارم,2,2,1,0.000892,0.0000840,0.0001468,15,0
320,الوليد بن العيزار,2,2,2,0.000889,0.0001188,0.0002160,16,0
321,سال عايشة,1,1,1,0.000886,0.0000927,0.0000819,3,0
322,ابن ابي زايدة,5,4,2,0.000882,0.0001199,0.0003611,3,0
323,هشام بن زيد,10,2,2,0.000880,0.0003514,0.0001145,5,0
324,اسماعيل بن ابي خالد,22,8,14,0.000879,0.0003904,0.0003480,8,0
325,عمير بن الاسود العنسي,1,4,1,0.000876,0.0001186,0.0003233,7,0
326,ابي عثمان النهدي,9,7,8,0.000871,0.0004329,0.0001476,0,0
327,محمد بن عبد الله الانصاري,15,6,7,0.000869,0.0002038,0.0004058,0,0
328,اسحاق بن عبد الله بن ابي طلحة,39,4,8,0.000863,0.0003409,0.0003338,0,0
329,بكر بن عبد الله,3,1,3,0.000855,0.0003602,0.0000751,0,0
330,عثمان بن ابي شيبة,45,5,1,0.000850,0.0005637,0.0008157,4,0
331,المغيرة بن شعبة,15,1,7,0.000848,0.0006366,0.0000804,3,0
332,ابي جحيفة,6,2,5,0.000844,0.0002289,0.0007343,9,0
333,ابن ابي مريم,19,8,1,0.000842,0.0000860,0.0004705,13,0
334,اسماعيل بن امية,5,4,4,0.000840,0.0003307,0.0001997,2,0
335,يزيد بن ابي حبيب,23,9,4,0.000834,0.0002314,0.0006168,1,0
336,واقد بن محمد,6,5,2,0.000834,0.0001353,0.0003263,5,0
337,بكر,9,5,7,0.000831,0.0001828,0.0002098,7,0
338,محمد بن يحيي بن حبان,10,6,6,0.000823,0.0002324,0.0002805,11,0
339,ابي مجلز,9,5,6,0.000813,0.0004222,0.0001521,0,0
340,عبيد الله بن عدي,3,3,2,0.000811,0.0001232,0.0005693,1,0
341,يحيي بن صالح,11,6,2,0.000807,0.0001069,0.0004230,10,0
342,محمد بن ابراهيم,15,10,6,0.000804,0.0003278,0.0002954,7,0
343,كريب,28,6,9,0.000799,0.0006193,0.0002545,2,0
344,جعفر بن ربيعة,24,7,5,0.000796,0.0002941,0.0003385,1,0
345,علي بن الحسين,5,4,3,0.000792,0.0002172,0.0010438,1,0
346,عبد الله بن كعب,10,4,7,0.000790,0.0002637,0.0002003,1,0
347,عبيد الله بن عبد الله بن عتبة,49,15,6,0.000785,0.0007278,0.0003569,1,0
348,ابي الضحي,29,3,6,0.000784,0.0005173,0.0003448,3,0
349,اسماعيل بن ابان,6,5,1,0.000781,0.0002351,0.0002387,2,0
350,زيد,7,6,3,0.000773,0.0001909,0.0002949,13,0
351,عبد الرحمن بن ابي بكرة,17,4,10,0.000773,0.0005266,0.0002836,0,0
352,محمد بن فليح,14,3,2,0.000773,0.0001864,0.0004146,11,0
353,عبد العزيز بن عبد الله بن ابي سلمة,3,3,3,0.000768,0.0002066,0.0001658,0,0
354,بريد بن عبد الله بن ابي بردة,9,2,4,0.000765,0.0003011,0.0001696,12,0
355,ابي عبد الرحمن,9,1,5,0.000762,0.0003333,0.0003291,4,0
356,عثمان بن غياث,3,3,3,0.000761,0.0002103,0.0001374,12,0
357,فضيل بن سليمان,14,6,4,0.000759,0.0001569,0.0007696,0,0
358,صخر بن جويرية,6,2,5,0.000758,0.0003764,0.0001387,11,0
359,ابا هريرة اخبرهما,4,2,6,0.000756,0.0002517,0.0004577,1,0
360,مالك بن مغول,5,4,3,0.000755,0.0001608,0.0003527,3,0
361,ابو حفص,2,1,2,0.000754,0.0005272,0.0000781,11,0
362,ابو سلمة بن عبد الرحمن,37,10,7,0.000754,0.0006780,0.0002949,1,0
363,عدي,12,6,3,0.000754,0.0002019,0.0003498,5,0
364,ابراهيم بن طهمان,7,6,4,0.000750,0.0002559,0.0002578,4,0
365,عبيد الله بن موسي,38,14,5,0.000750,0.0002083,0.0010409,5,0
366,ابن ابي ليلي,17,6,4,0.000749,0.0003383,0.0003117,5,0
